TIME,TYPE,TEMPERATURE,PRESSURE,HUMIDITY
2019-06-14 11:44:06,AVG,21.22,1010.30,59.33
2019-06-14 11:44:26,AVG,21.22,1009.22,59.33
2019-06-14 11:44:46,AVG,21.22,1009.22,59.33
2019-06-14 11:45:06,AVG,21.22,1010.30,59.33
2019-06-14 11:45:26,AVG,21.22,1010.30,58.70
2019-06-14 11:45:46,AVG,21.00,1009.22,59.65
2019-06-14 11:46:06,AVG,21.22,1010.30,59.33
2019-06-14 11:46:26,AVG,21.22,1010.30,58.70
2019-06-14 11:46:46,AVG,21.22,1009.22,57.91
2019-06-14 11:47:06,AVG,21.22,1010.30,58.23
2019-06-14 11:47:26,AVG,21.22,1009.22,58.86
2019-06-14 11:47:46,AVG,21.22,1010.30,58.70
2019-06-14 11:48:06,AVG,21.22,1010.30,58.54
2019-06-14 11:48:26,AVG,21.22,1009.22,58.54
2019-06-14 11:48:46,AVG,21.22,1010.30,58.70
2019-06-14 11:49:06,AVG,21.22,1009.22,58.07
2019-06-14 11:49:26,AVG,21.22,1009.22,58.70
2019-06-14 11:49:46,AVG,21.22,1009.22,58.70
2019-06-14 11:50:06,AVG,21.22,1009.22,58.70
2019-06-14 11:50:26,AVG,21.22,1009.22,59.02
2019-06-14 11:50:46,AVG,21.22,1009.22,59.02
2019-06-14 11:51:06,AVG,21.22,1010.30,59.02
2019-06-14 11:51:26,AVG,21.22,1009.22,59.33
2019-06-14 11:51:46,AVG,21.22,1010.30,59.02
2019-06-14 11:52:06,AVG,21.22,1009.22,60.12
2019-06-14 11:52:26,AVG,21.22,1010.30,59.02
2019-06-14 11:52:46,AVG,21.22,1010.30,58.23
2019-06-14 11:53:06,AVG,21.22,1009.22,59.49
2019-06-14 11:53:26,AVG,21.22,1010.30,59.17
2019-06-14 11:53:46,AVG,21.22,1009.22,59.49
2019-06-14 11:54:06,AVG,21.22,1010.30,59.17
2019-06-14 11:54:26,AVG,21.22,1010.30,59.17
2019-06-14 11:54:46,AVG,21.22,1009.22,59.65
2019-06-14 11:55:06,AVG,21.22,1009.22,59.17
2019-06-14 11:55:26,AVG,21.22,1010.30,59.33
2019-06-14 11:55:46,AVG,21.22,1010.30,58.86
2019-06-14 11:56:06,AVG,21.22,1009.22,59.33
2019-06-14 11:56:26,AVG,21.22,1010.30,59.17
2019-06-14 11:56:46,AVG,21.22,1010.30,59.33
2019-06-14 11:57:06,AVG,21.22,1009.22,59.33
2019-06-14 11:57:26,AVG,21.22,1009.22,59.33
2019-06-14 11:57:46,AVG,21.22,1009.22,59.02
2019-06-14 11:58:06,AVG,21.22,1009.22,59.33
2019-06-14 11:58:26,AVG,21.22,1009.22,59.02
2019-06-14 11:58:46,AVG,21.22,1009.22,59.02
2019-06-14 11:59:06,AVG,21.22,1009.22,58.86
2019-06-14 11:59:26,AVG,21.22,1010.30,59.17
2019-06-14 11:59:46,AVG,21.22,1009.22,59.33
2019-06-14 12:00:06,AVG,21.22,1009.22,59.33
2019-06-14 12:00:26,AVG,21.22,1009.22,58.86
2019-06-14 12:00:46,AVG,21.22,1009.22,59.33
2019-06-14 12:01:06,AVG,21.22,1009.22,59.17
2019-06-14 12:01:26,AVG,21.22,1010.30,59.33
2019-06-14 12:01:46,AVG,21.22,1009.22,59.33
2019-06-14 12:02:06,AVG,21.22,1010.30,59.49
2019-06-14 12:02:26,AVG,21.22,1009.22,59.49
2019-06-14 12:02:46,AVG,21.22,1010.30,59.17
2019-06-14 12:03:06,AVG,21.22,1009.22,57.76
2019-06-14 12:03:26,AVG,21.22,1010.30,59.02
2019-06-14 12:03:46,AVG,21.22,1010.30,59.17
2019-06-14 12:04:06,AVG,21.22,1009.22,59.02
2019-06-14 12:04:26,AVG,21.22,1010.30,59.17
2019-06-14 12:04:46,AVG,21.22,1009.22,59.02
2019-06-14 12:05:06,AVG,21.43,1009.22,59.17
2019-06-14 12:05:26,AVG,21.43,1010.30,59.17
2019-06-14 12:05:46,AVG,21.43,1009.22,59.02
2019-06-14 12:06:06,AVG,21.43,1009.22,58.86
2019-06-14 12:06:26,AVG,21.43,1010.30,59.02
2019-06-14 12:06:46,AVG,21.22,1009.22,60.28
2019-06-14 12:07:06,AVG,21.22,1009.22,59.17
2019-06-14 12:07:26,AVG,21.22,1009.22,59.17
2019-06-14 12:07:46,AVG,21.22,1010.30,59.33
2019-06-14 12:08:06,AVG,21.22,1009.22,59.81
2019-06-14 12:08:26,AVG,21.22,1009.22,59.96
2019-06-14 12:08:46,AVG,21.22,1010.30,59.02
2019-06-14 12:09:06,AVG,21.22,1010.30,59.49
2019-06-14 12:09:26,AVG,21.22,1009.22,59.65
2019-06-14 12:09:46,AVG,21.22,1010.30,59.65
2019-06-14 12:10:06,AVG,21.22,1009.22,59.17
2019-06-14 12:10:26,AVG,21.22,1010.30,58.70
2019-06-14 12:10:46,AVG,21.22,1009.22,58.54
2019-06-14 12:11:06,AVG,21.22,1009.22,58.39
2019-06-14 12:11:26,AVG,21.22,1010.30,59.33
2019-06-14 12:11:46,AVG,21.22,1009.22,58.23
2019-06-14 12:12:06,AVG,21.22,1009.22,59.17
2019-06-14 12:12:26,AVG,21.22,1010.30,59.33
2019-06-14 12:12:46,AVG,21.22,1009.22,59.49
2019-06-14 12:13:06,AVG,21.22,1010.30,59.33
2019-06-14 12:13:26,AVG,21.22,1010.30,59.65
2019-06-14 12:13:46,AVG,21.22,1010.30,59.65
2019-06-14 12:14:06,AVG,21.22,1009.22,59.65
2019-06-14 12:14:26,AVG,21.22,1009.22,59.49
2019-06-14 12:14:46,AVG,21.22,1009.22,59.33
2019-06-14 12:15:06,AVG,21.22,1009.22,59.81
2019-06-14 12:15:26,AVG,21.22,1010.30,59.49
2019-06-14 12:15:46,AVG,21.22,1009.22,59.65
2019-06-14 12:16:06,AVG,21.22,1009.22,60.12
2019-06-14 12:16:26,AVG,21.22,1009.22,59.49
2019-06-14 12:16:46,AVG,21.22,1009.22,59.49
2019-06-14 12:17:06,AVG,21.22,1009.22,59.33
2019-06-14 12:17:26,AVG,21.22,1010.30,59.49
2019-06-14 12:17:46,AVG,21.22,1009.22,58.70
2019-06-14 12:18:06,AVG,21.22,1009.22,59.49
2019-06-14 12:18:26,AVG,21.22,1009.22,60.59
2019-06-14 12:18:46,AVG,21.22,1009.22,59.96
2019-06-14 12:19:06,AVG,21.22,1009.22,59.96
2019-06-14 12:19:26,AVG,21.22,1009.22,59.96
2019-06-14 12:19:46,AVG,21.22,1010.30,59.65
2019-06-14 12:20:06,AVG,21.22,1009.22,59.81
2019-06-14 12:20:26,AVG,21.22,1009.22,59.49
2019-06-14 12:20:46,AVG,21.22,1009.22,59.17
2019-06-14 12:21:06,AVG,21.00,1009.22,59.49
2019-06-14 12:21:26,AVG,21.22,1009.22,59.17
2019-06-14 12:21:46,AVG,21.22,1009.22,59.65
2019-06-14 12:22:06,AVG,21.00,1010.30,59.02
2019-06-14 12:22:26,AVG,21.00,1010.30,59.17
2019-06-14 12:22:46,AVG,21.00,1009.22,59.02
2019-06-14 12:23:06,AVG,21.00,1009.22,59.02
2019-06-14 12:23:26,AVG,21.00,1009.22,59.02
2019-06-14 12:23:46,AVG,21.00,1009.22,59.02
2019-06-14 12:24:06,AVG,21.00,1009.22,58.86
2019-06-14 12:24:26,AVG,21.22,1009.22,59.02
2019-06-14 12:24:46,AVG,21.00,1009.22,59.02
2019-06-14 12:25:06,AVG,21.22,1009.22,58.86
2019-06-14 12:25:26,AVG,21.00,1010.30,58.70
2019-06-14 12:25:46,AVG,21.00,1010.30,58.70
2019-06-14 12:26:06,AVG,21.00,1009.22,58.39
2019-06-14 12:26:26,AVG,21.00,1009.22,57.91
2019-06-14 12:26:46,AVG,21.22,1010.30,58.54
2019-06-14 12:27:06,AVG,21.00,1009.22,58.39
2019-06-14 12:27:26,AVG,21.22,1010.30,58.54
2019-06-14 12:27:46,AVG,21.22,1009.22,58.39
2019-06-14 12:28:06,AVG,21.22,1010.30,58.39
2019-06-14 12:28:26,AVG,21.22,1010.30,59.02
2019-06-14 12:28:46,AVG,21.22,1009.22,58.54
2019-06-14 12:29:06,AVG,21.00,1010.30,58.54
2019-06-14 12:29:26,AVG,21.00,1009.22,58.70
2019-06-14 12:29:46,AVG,21.00,1010.30,58.70
2019-06-14 12:30:06,AVG,21.00,1010.30,58.86
2019-06-14 12:30:26,AVG,21.22,1009.22,58.70
2019-06-14 12:30:46,AVG,21.22,1009.22,59.02
2019-06-14 12:31:06,AVG,21.22,1010.30,58.86
2019-06-14 12:31:26,AVG,21.22,1010.30,58.70
2019-06-14 12:31:46,AVG,21.00,1009.22,58.54
2019-06-14 12:32:06,AVG,21.22,1010.30,58.39
2019-06-14 12:32:26,AVG,21.22,1009.22,59.17
2019-06-14 12:32:46,AVG,21.00,1010.30,58.39
2019-06-14 12:33:06,AVG,21.22,1010.30,57.91
2019-06-14 12:33:26,AVG,21.00,1009.22,58.23
2019-06-14 12:33:46,AVG,21.00,1010.30,58.23
2019-06-14 12:34:06,AVG,21.00,1010.30,58.54
2019-06-14 12:34:26,AVG,21.00,1010.30,58.39
2019-06-14 12:34:46,AVG,21.22,1010.30,58.39
2019-06-14 12:35:06,AVG,21.22,1010.30,57.28
2019-06-14 12:35:26,AVG,21.00,1009.22,57.91
2019-06-14 12:35:46,AVG,21.00,1009.22,57.91
2019-06-14 12:36:06,AVG,21.00,1010.30,58.39
2019-06-14 12:36:26,AVG,21.00,1009.22,58.39
2019-06-14 12:36:46,AVG,21.00,1010.30,58.39
2019-06-14 12:37:06,AVG,21.00,1010.30,58.54
2019-06-14 12:37:26,AVG,21.22,1010.30,58.39
2019-06-14 12:37:46,AVG,21.22,1010.30,59.81
2019-06-14 12:38:06,AVG,21.22,1009.22,58.70
2019-06-14 12:38:26,AVG,21.00,1009.22,58.39
2019-06-14 12:38:46,AVG,21.22,1010.30,59.02
2019-06-14 12:39:06,AVG,21.22,1009.22,57.91
2019-06-14 12:39:26,AVG,21.22,1009.22,58.23
2019-06-14 12:39:46,AVG,21.00,1009.22,58.23
2019-06-14 12:40:06,AVG,21.22,1010.30,57.91
2019-06-14 12:40:26,AVG,21.22,1009.22,58.23
2019-06-14 12:40:46,AVG,21.22,1010.30,57.60
2019-06-14 12:41:06,AVG,21.00,1010.30,57.91
2019-06-14 12:41:26,AVG,21.00,1010.30,57.76
2019-06-14 12:41:46,AVG,21.22,1010.30,57.44
2019-06-14 12:42:06,AVG,21.22,1009.22,57.44
2019-06-14 12:42:26,AVG,21.22,1010.30,58.23
2019-06-14 12:42:46,AVG,21.00,1010.30,57.44
2019-06-14 12:43:06,AVG,21.22,1009.22,58.86
2019-06-14 12:43:26,AVG,21.22,1010.30,59.17
2019-06-14 12:43:46,AVG,21.22,1010.30,58.23
2019-06-14 12:44:06,AVG,21.22,1010.30,58.07
2019-06-14 12:44:26,AVG,21.22,1010.30,58.70
2019-06-14 12:44:46,AVG,21.00,1009.22,58.54
2019-06-14 12:45:06,AVG,21.22,1009.22,59.02
2019-06-14 12:45:26,AVG,21.22,1010.30,58.70
2019-06-14 12:45:46,AVG,21.22,1010.30,59.02
2019-06-14 12:46:06,AVG,21.22,1009.22,58.39
2019-06-14 12:46:26,AVG,21.22,1009.22,58.54
2019-06-14 12:46:46,AVG,21.22,1010.30,58.39
2019-06-14 12:47:06,AVG,21.22,1010.30,57.76
2019-06-14 12:47:26,AVG,21.22,1009.22,56.97
2019-06-14 12:47:46,AVG,21.00,1010.30,57.12
2019-06-14 12:48:06,AVG,21.22,1009.22,57.28
2019-06-14 12:48:26,AVG,21.00,1009.22,57.28
2019-06-14 12:48:46,AVG,21.00,1010.30,57.60
2019-06-14 12:49:06,AVG,21.00,1009.22,57.60
2019-06-14 12:49:26,AVG,21.00,1009.22,57.91
2019-06-14 12:49:46,AVG,21.00,1009.22,57.76
2019-06-14 12:50:06,AVG,21.00,1009.22,58.54
2019-06-14 12:50:26,AVG,21.00,1010.30,57.60
2019-06-14 12:50:46,AVG,21.00,1009.22,57.91
2019-06-14 12:51:06,AVG,21.00,1010.30,57.76
2019-06-14 12:51:26,AVG,21.00,1010.30,58.07
2019-06-14 12:51:46,AVG,21.00,1010.30,57.60
2019-06-14 12:52:06,AVG,21.00,1010.30,57.76
2019-06-14 12:52:26,AVG,21.00,1009.22,57.44
2019-06-14 12:52:46,AVG,21.00,1010.30,57.60
2019-06-14 12:53:06,AVG,21.00,1010.30,57.76
2019-06-14 12:53:26,AVG,21.00,1010.30,57.76
